Date,Open,High,Low,Close,Adj Close,Volume
2/18/2021,86.519997,88.730003,85.959999,88.540001,88.540001,19168100
2/19/2021,90.25,91.489998,88.809998,90.959999,90.959999,21886500
2/22/2021,89.529999,90.519997,85.919998,86.279999,86.279999,16077000
2/23/2021,85.239998,89.199997,82.440002,88.230003,88.230003,23203200
2/24/2021,88.300003,92.599998,87.730003,92.519997,92.519997,21281700
2/25/2021,91.519997,93.099998,87.580002,88.120003,88.120003,22546200
2/26/2021,89.739998,92.940002,88.230003,91.529999,91.529999,22778300
3/1/2021,94.540001,95.75,92.57,94.760002,94.760002,19844300
3/2/2021,93.57,94.900002,90.900002,91.089996,91.089996,18656600
3/3/2021,90.57,93.330002,88.389999,89.110001,89.110001,26389800
3/4/2021,88.809998,89.75,81.849998,84.330002,84.330002,31852900
3/5/2021,87.529999,89.32,83.300003,88.93,88.93,30305500
3/8/2021,88.57,89.720001,84.870003,85.050003,85.050003,22688300
3/9/2021,88,90.18,86.300003,89.300003,89.300003,22286300
3/10/2021,90.010002,90.010002,85.309998,85.410004,85.410004,23383100
3/11/2021,87.589996,90.220001,86.849998,89.309998,89.309998,20698400
3/12/2021,87.57,88.529999,86.43,87.769997,87.769997,21901300
3/15/2021,87.769997,88.910004,86.139999,88.849998,88.849998,16144400
3/16/2021,90.75,94.68,90.110001,91.43,91.43,28307100
3/17/2021,91.330002,95.489998,90.099998,94.760002,94.760002,24514200
3/18/2021,92.970001,93.480003,89.410004,89.82,89.82,27081000
3/19/2021,90.360001,92.68,88.889999,90.510002,90.510002,24951500
3/22/2021,91.830002,92.419998,89.650002,91.279999,91.279999,19365800
3/23/2021,91.019997,91.269997,84.970001,85.400002,85.400002,32043800
3/24/2021,87.059998,87.150002,82.919998,83,83,24232800
3/25/2021,81.139999,84.43,80.489998,84.089996,84.089996,23630200
3/26/2021,84.160004,88.139999,84.029999,87.989998,87.989998,23932600
